date,value,lugar,date2
1975,7,Hondarribia - Malkarroa,1975
1976,8,Hondarribia - Malkarroa,1976
1977,1,Hondarribia - Malkarroa,1977
1978,2,Hondarribia - Malkarroa,1978
1979,1,Hondarribia - Malkarroa,1979
1980,6,Hondarribia - Malkarroa,1980
1981,8,Hondarribia - Malkarroa,1981
1982,17,Hondarribia - Malkarroa,1982
1983,11,Hondarribia - Malkarroa,1983
1984,10,Hondarribia - Malkarroa,1984
1985,9,Hondarribia - Malkarroa,1985
1986,6,Hondarribia - Malkarroa,1986
1987,10,Hondarribia - Malkarroa,1987
1988,3,Hondarribia - Malkarroa,1988
1989,7,Hondarribia - Malkarroa,1989
1990,14,Hondarribia - Malkarroa,1990
1991,9,Hondarribia - Malkarroa,1991
1992,10,Hondarribia - Malkarroa,1992
1993,9,Hondarribia - Malkarroa,1993
1994,4,Hondarribia - Malkarroa,1994
1995,8,Hondarribia - Malkarroa,1995
1996,6,Hondarribia - Malkarroa,1996
1997,9,Hondarribia - Malkarroa,1997
1998,14,Hondarribia - Malkarroa,1998
1999,11,Hondarribia - Malkarroa,1999
2000,14,Hondarribia - Malkarroa,2000
2001,6,Hondarribia - Malkarroa,2001
2002,6,Hondarribia - Malkarroa,2002
2003,24,Hondarribia - Malkarroa,2003
2004,15,Hondarribia - Malkarroa,2004
2005,10,Hondarribia - Malkarroa,2005
2006,14,Hondarribia - Malkarroa,2006
2007,12,Hondarribia - Malkarroa,2007
2008,7,Hondarribia - Malkarroa,2008
2009,8,Hondarribia - Malkarroa,2009
2010,2,Hondarribia - Malkarroa,2010
2011,10,Hondarribia - Malkarroa,2011
2012,13,Hondarribia - Malkarroa,2012
2013,6,Hondarribia - Malkarroa,2013
2014,7,Hondarribia - Malkarroa,2014
2015,11,Hondarribia - Malkarroa,2015
2016,13,Hondarribia - Malkarroa,2016
2017,11,Hondarribia - Malkarroa,2017
2018,9,Hondarribia - Malkarroa,2018
1985,82,Huelva - Ronda Este,1985
1986,70,Huelva - Ronda Este,1986
1987,71,Huelva - Ronda Este,1987
1988,70,Huelva - Ronda Este,1988
1989,75,Huelva - Ronda Este,1989
1990,75,Huelva - Ronda Este,1990
1991,74,Huelva - Ronda Este,1991
1992,62,Huelva - Ronda Este,1992
1993,61,Huelva - Ronda Este,1993
1994,84,Huelva - Ronda Este,1994
1995,51,Huelva - Ronda Este,1995
1996,72,Huelva - Ronda Este,1996
1997,62,Huelva - Ronda Este,1997
1998,70,Huelva - Ronda Este,1998
1999,59,Huelva - Ronda Este,1999
2000,72,Huelva - Ronda Este,2000
2001,68,Huelva - Ronda Este,2001
2002,48,Huelva - Ronda Este,2002
2003,88,Huelva - Ronda Este,2003
2004,84,Huelva - Ronda Este,2004
2005,83,Huelva - Ronda Este,2005
2006,75,Huelva - Ronda Este,2006
2007,65,Huelva - Ronda Este,2007
2008,84,Huelva - Ronda Este,2008
2009,84,Huelva - Ronda Este,2009
2010,82,Huelva - Ronda Este,2010
2011,87,Huelva - Ronda Este,2011
2012,92,Huelva - Ronda Este,2012
2013,76,Huelva - Ronda Este,2013
2014,58,Huelva - Ronda Este,2014
2015,75,Huelva - Ronda Este,2015
2016,95,Huelva - Ronda Este,2016
2017,94,Huelva - Ronda Este,2017
2018,78,Huelva - Ronda Este,2018
1985,67,Huesca Aeropuerto,1985
1986,61,Huesca Aeropuerto,1986
1987,61,Huesca Aeropuerto,1987
1988,44,Huesca Aeropuerto,1988
1989,67,Huesca Aeropuerto,1989
1990,65,Huesca Aeropuerto,1990
1991,64,Huesca Aeropuerto,1991
1992,39,Huesca Aeropuerto,1992
1993,48,Huesca Aeropuerto,1993
1994,74,Huesca Aeropuerto,1994
1995,57,Huesca Aeropuerto,1995
1996,40,Huesca Aeropuerto,1996
1997,26,Huesca Aeropuerto,1997
1998,65,Huesca Aeropuerto,1998
2000,42,Huesca Aeropuerto,2000
2001,57,Huesca Aeropuerto,2001
2002,31,Huesca Aeropuerto,2002
2003,74,Huesca Aeropuerto,2003
2004,59,Huesca Aeropuerto,2004
2005,74,Huesca Aeropuerto,2005
2006,61,Huesca Aeropuerto,2006
2007,47,Huesca Aeropuerto,2007
2008,61,Huesca Aeropuerto,2008
2009,73,Huesca Aeropuerto,2009
2010,64,Huesca Aeropuerto,2010
2011,70,Huesca Aeropuerto,2011
2012,80,Huesca Aeropuerto,2012
2013,62,Huesca Aeropuerto,2013
2014,63,Huesca Aeropuerto,2014
2015,71,Huesca Aeropuerto,2015
2016,77,Huesca Aeropuerto,2016
2017,61,Huesca Aeropuerto,2017
2018,68,Huesca Aeropuerto,2018
1985,33,Ibiza - Aeropuerto,1985
1986,43,Ibiza - Aeropuerto,1986
1987,48,Ibiza - Aeropuerto,1987
1988,54,Ibiza - Aeropuerto,1988
1989,58,Ibiza - Aeropuerto,1989
1990,68,Ibiza - Aeropuerto,1990
1991,63,Ibiza - Aeropuerto,1991
1992,37,Ibiza - Aeropuerto,1992
1993,35,Ibiza - Aeropuerto,1993
1994,51,Ibiza - Aeropuerto,1994
1995,40,Ibiza - Aeropuerto,1995
1996,28,Ibiza - Aeropuerto,1996
1997,35,Ibiza - Aeropuerto,1997
1998,48,Ibiza - Aeropuerto,1998
1999,61,Ibiza - Aeropuerto,1999
2000,30,Ibiza - Aeropuerto,2000
2001,45,Ibiza - Aeropuerto,2001
2002,21,Ibiza - Aeropuerto,2002
2003,79,Ibiza - Aeropuerto,2003
2004,48,Ibiza - Aeropuerto,2004
2005,22,Ibiza - Aeropuerto,2005
2006,36,Ibiza - Aeropuerto,2006
2007,11,Ibiza - Aeropuerto,2007
2008,22,Ibiza - Aeropuerto,2008
2009,42,Ibiza - Aeropuerto,2009
2010,37,Ibiza - Aeropuerto,2010
2011,38,Ibiza - Aeropuerto,2011
2012,51,Ibiza - Aeropuerto,2012
2013,49,Ibiza - Aeropuerto,2013
2014,61,Ibiza - Aeropuerto,2014
2015,57,Ibiza - Aeropuerto,2015
2016,27,Ibiza - Aeropuerto,2016
2017,32,Ibiza - Aeropuerto,2017
2018,48,Ibiza - Aeropuerto,2018
1950,0,Izaña,1950
1951,0,Izaña,1951
1952,0,Izaña,1952
1954,0,Izaña,1954
1955,0,Izaña,1955
1956,0,Izaña,1956
1957,0,Izaña,1957
1958,0,Izaña,1958
1959,0,Izaña,1959
1960,0,Izaña,1960
1961,0,Izaña,1961
1962,0,Izaña,1962
1963,0,Izaña,1963
1964,0,Izaña,1964
1965,0,Izaña,1965
1966,0,Izaña,1966
1967,0,Izaña,1967
1968,0,Izaña,1968
1969,0,Izaña,1969
1970,0,Izaña,1970
1971,0,Izaña,1971
1972,0,Izaña,1972
1973,0,Izaña,1973
1974,0,Izaña,1974
1975,0,Izaña,1975
1976,0,Izaña,1976
1977,0,Izaña,1977
1978,0,Izaña,1978
1979,0,Izaña,1979
1980,0,Izaña,1980
1981,0,Izaña,1981
1982,0,Izaña,1982
1983,0,Izaña,1983
1984,0,Izaña,1984
1985,0,Izaña,1985
1986,0,Izaña,1986
1987,0,Izaña,1987
1988,0,Izaña,1988
1989,0,Izaña,1989
1990,0,Izaña,1990
1991,0,Izaña,1991
1992,0,Izaña,1992
1993,0,Izaña,1993
1994,0,Izaña,1994
1995,1,Izaña,1995
1996,0,Izaña,1996
1997,0,Izaña,1997
1998,1,Izaña,1998
1999,0,Izaña,1999
2000,0,Izaña,2000
2001,0,Izaña,2001
2002,0,Izaña,2002
2003,0,Izaña,2003
2004,0,Izaña,2004
2005,0,Izaña,2005
2006,0,Izaña,2006
2007,0,Izaña,2007
2008,0,Izaña,2008
2009,0,Izaña,2009
2010,0,Izaña,2010
2011,0,Izaña,2011
2012,0,Izaña,2012
2013,0,Izaña,2013
2014,0,Izaña,2014
2015,0,Izaña,2015
2016,0,Izaña,2016
2017,0,Izaña,2017
2018,0,Izaña,2018
1985,102,Jaén,1985
1988,45,Jaén,1988
1989,78,Jaén,1989
1990,87,Jaén,1990
1991,94,Jaén,1991
1992,69,Jaén,1992
1993,37,Jaén,1993
1994,81,Jaén,1994
1995,65,Jaén,1995
1996,55,Jaén,1996
1997,48,Jaén,1997
1998,75,Jaén,1998
1999,59,Jaén,1999
2000,59,Jaén,2000
2001,79,Jaén,2001
2002,72,Jaén,2002
2003,76,Jaén,2003
2004,77,Jaén,2004
2005,83,Jaén,2005
2006,80,Jaén,2006
2007,64,Jaén,2007
2008,76,Jaén,2008
2009,90,Jaén,2009
2010,70,Jaén,2010
2011,80,Jaén,2011
2012,100,Jaén,2012
2013,81,Jaén,2013
2014,72,Jaén,2014
2015,86,Jaén,2015
2016,97,Jaén,2016
2017,91,Jaén,2017
2018,86,Jaén,2018
1952,34,Jerez De La Frontera Aeropuerto,1952
1953,86,Jerez De La Frontera Aeropuerto,1953
1954,90,Jerez De La Frontera Aeropuerto,1954
1955,87,Jerez De La Frontera Aeropuerto,1955
1956,76,Jerez De La Frontera Aeropuerto,1956
1957,94,Jerez De La Frontera Aeropuerto,1957
1958,74,Jerez De La Frontera Aeropuerto,1958
1959,72,Jerez De La Frontera Aeropuerto,1959
1960,87,Jerez De La Frontera Aeropuerto,1960
1961,90,Jerez De La Frontera Aeropuerto,1961
1962,92,Jerez De La Frontera Aeropuerto,1962
1963,64,Jerez De La Frontera Aeropuerto,1963
1964,85,Jerez De La Frontera Aeropuerto,1964
1965,71,Jerez De La Frontera Aeropuerto,1965
1966,68,Jerez De La Frontera Aeropuerto,1966
1967,73,Jerez De La Frontera Aeropuerto,1967
1968,71,Jerez De La Frontera Aeropuerto,1968
1969,67,Jerez De La Frontera Aeropuerto,1969
1970,79,Jerez De La Frontera Aeropuerto,1970
1971,59,Jerez De La Frontera Aeropuerto,1971
1972,44,Jerez De La Frontera Aeropuerto,1972
1973,76,Jerez De La Frontera Aeropuerto,1973
1974,76,Jerez De La Frontera Aeropuerto,1974
1975,71,Jerez De La Frontera Aeropuerto,1975
1976,67,Jerez De La Frontera Aeropuerto,1976
1977,54,Jerez De La Frontera Aeropuerto,1977
1978,79,Jerez De La Frontera Aeropuerto,1978
1979,73,Jerez De La Frontera Aeropuerto,1979
1980,87,Jerez De La Frontera Aeropuerto,1980
1981,83,Jerez De La Frontera Aeropuerto,1981
1982,69,Jerez De La Frontera Aeropuerto,1982
1983,67,Jerez De La Frontera Aeropuerto,1983
1984,89,Jerez De La Frontera Aeropuerto,1984
1985,88,Jerez De La Frontera Aeropuerto,1985
1986,70,Jerez De La Frontera Aeropuerto,1986
1987,73,Jerez De La Frontera Aeropuerto,1987
1988,75,Jerez De La Frontera Aeropuerto,1988
1989,91,Jerez De La Frontera Aeropuerto,1989
1990,84,Jerez De La Frontera Aeropuerto,1990
1991,92,Jerez De La Frontera Aeropuerto,1991
1992,71,Jerez De La Frontera Aeropuerto,1992
1993,70,Jerez De La Frontera Aeropuerto,1993
1994,90,Jerez De La Frontera Aeropuerto,1994
1995,67,Jerez De La Frontera Aeropuerto,1995
1996,83,Jerez De La Frontera Aeropuerto,1996
1997,73,Jerez De La Frontera Aeropuerto,1997
1998,81,Jerez De La Frontera Aeropuerto,1998
1999,85,Jerez De La Frontera Aeropuerto,1999
2000,87,Jerez De La Frontera Aeropuerto,2000
2001,76,Jerez De La Frontera Aeropuerto,2001
2002,58,Jerez De La Frontera Aeropuerto,2002
2003,86,Jerez De La Frontera Aeropuerto,2003
2004,94,Jerez De La Frontera Aeropuerto,2004
2005,85,Jerez De La Frontera Aeropuerto,2005
2006,84,Jerez De La Frontera Aeropuerto,2006
2007,75,Jerez De La Frontera Aeropuerto,2007
2008,73,Jerez De La Frontera Aeropuerto,2008
2009,88,Jerez De La Frontera Aeropuerto,2009
2010,91,Jerez De La Frontera Aeropuerto,2010
2011,99,Jerez De La Frontera Aeropuerto,2011
2012,90,Jerez De La Frontera Aeropuerto,2012
2013,93,Jerez De La Frontera Aeropuerto,2013
2014,74,Jerez De La Frontera Aeropuerto,2014
2015,88,Jerez De La Frontera Aeropuerto,2015
2016,109,Jerez De La Frontera Aeropuerto,2016
2017,100,Jerez De La Frontera Aeropuerto,2017
2018,86,Jerez De La Frontera Aeropuerto,2018
1984,0,La Molina,1984
1985,0,La Molina,1985
1986,0,La Molina,1986
1987,2,La Molina,1987
1988,0,La Molina,1988
1989,0,La Molina,1989
1990,0,La Molina,1990
1991,0,La Molina,1991
1992,0,La Molina,1992
1993,0,La Molina,1993
1994,1,La Molina,1994
1995,0,La Molina,1995
1996,0,La Molina,1996
1997,0,La Molina,1997
1998,0,La Molina,1998
1999,0,La Molina,1999
2000,0,La Molina,2000
2001,0,La Molina,2001
2002,0,La Molina,2002
2005,0,La Molina,2005
2006,0,La Molina,2006
2007,0,La Molina,2007
2008,0,La Molina,2008
2010,0,La Molina,2010
2011,0,La Molina,2011
2012,3,La Molina,2012
2013,0,La Molina,2013
2014,0,La Molina,2014
2015,0,La Molina,2015
2016,0,La Molina,2016
2017,0,La Molina,2017
2018,0,La Molina,2018
1970,0,La Palma Aeropuerto,1970
1971,0,La Palma Aeropuerto,1971
1972,0,La Palma Aeropuerto,1972
1973,0,La Palma Aeropuerto,1973
1974,3,La Palma Aeropuerto,1974
1975,1,La Palma Aeropuerto,1975
1976,2,La Palma Aeropuerto,1976
1977,0,La Palma Aeropuerto,1977
1978,4,La Palma Aeropuerto,1978
1979,0,La Palma Aeropuerto,1979
1980,1,La Palma Aeropuerto,1980
1981,1,La Palma Aeropuerto,1981
1982,0,La Palma Aeropuerto,1982
1983,4,La Palma Aeropuerto,1983
1984,0,La Palma Aeropuerto,1984
1985,5,La Palma Aeropuerto,1985
1986,3,La Palma Aeropuerto,1986
1987,7,La Palma Aeropuerto,1987
1988,3,La Palma Aeropuerto,1988
1989,0,La Palma Aeropuerto,1989
1990,5,La Palma Aeropuerto,1990
1991,0,La Palma Aeropuerto,1991
1992,0,La Palma Aeropuerto,1992
1993,0,La Palma Aeropuerto,1993
1994,1,La Palma Aeropuerto,1994
1995,0,La Palma Aeropuerto,1995
1996,0,La Palma Aeropuerto,1996
1997,0,La Palma Aeropuerto,1997
1998,0,La Palma Aeropuerto,1998
1999,1,La Palma Aeropuerto,1999
2000,2,La Palma Aeropuerto,2000
2001,0,La Palma Aeropuerto,2001
2002,0,La Palma Aeropuerto,2002
2003,0,La Palma Aeropuerto,2003
2004,7,La Palma Aeropuerto,2004
2005,3,La Palma Aeropuerto,2005
2006,5,La Palma Aeropuerto,2006
2007,3,La Palma Aeropuerto,2007
2008,0,La Palma Aeropuerto,2008
2009,5,La Palma Aeropuerto,2009
2010,3,La Palma Aeropuerto,2010
2011,0,La Palma Aeropuerto,2011
2012,3,La Palma Aeropuerto,2012
2013,4,La Palma Aeropuerto,2013
2014,0,La Palma Aeropuerto,2014
2015,0,La Palma Aeropuerto,2015
2016,4,La Palma Aeropuerto,2016
2017,1,La Palma Aeropuerto,2017
2018,0,La Palma Aeropuerto,2018
1968,72,La Seu D'Urgell,1968
1969,70,La Seu D'Urgell,1969
1970,89,La Seu D'Urgell,1970
1971,95,La Seu D'Urgell,1971
1972,86,La Seu D'Urgell,1972
1973,72,La Seu D'Urgell,1973
1974,66,La Seu D'Urgell,1974
1975,54,La Seu D'Urgell,1975
1976,75,La Seu D'Urgell,1976
1977,47,La Seu D'Urgell,1977
1978,84,La Seu D'Urgell,1978
1979,86,La Seu D'Urgell,1979
1980,79,La Seu D'Urgell,1980
1981,84,La Seu D'Urgell,1981
1982,57,La Seu D'Urgell,1982
1983,64,La Seu D'Urgell,1983
1984,45,La Seu D'Urgell,1984
1985,74,La Seu D'Urgell,1985
1986,64,La Seu D'Urgell,1986
1987,56,La Seu D'Urgell,1987
1988,58,La Seu D'Urgell,1988
1989,80,La Seu D'Urgell,1989
1990,68,La Seu D'Urgell,1990
1991,79,La Seu D'Urgell,1991
1992,56,La Seu D'Urgell,1992
1997,5,La Seu D'Urgell,1997
1998,61,La Seu D'Urgell,1998
2000,9,La Seu D'Urgell,2000
2002,42,La Seu D'Urgell,2002
2003,21,La Seu D'Urgell,2003
2004,29,La Seu D'Urgell,2004
2005,37,La Seu D'Urgell,2005
2006,60,La Seu D'Urgell,2006
2007,24,La Seu D'Urgell,2007
2008,37,La Seu D'Urgell,2008
2009,56,La Seu D'Urgell,2009
2011,52,La Seu D'Urgell,2011
2012,77,La Seu D'Urgell,2012
2013,19,La Seu D'Urgell,2013
2014,24,La Seu D'Urgell,2014
2015,47,La Seu D'Urgell,2015
2016,23,La Seu D'Urgell,2016
2017,37,La Seu D'Urgell,2017
2018,37,La Seu D'Urgell,2018
1973,13,Lanzarote Aeropuerto,1973
1974,24,Lanzarote Aeropuerto,1974
1975,24,Lanzarote Aeropuerto,1975
1976,25,Lanzarote Aeropuerto,1976
1977,4,Lanzarote Aeropuerto,1977
1978,23,Lanzarote Aeropuerto,1978
1979,4,Lanzarote Aeropuerto,1979
1980,25,Lanzarote Aeropuerto,1980
1981,11,Lanzarote Aeropuerto,1981
1982,5,Lanzarote Aeropuerto,1982
1983,22,Lanzarote Aeropuerto,1983
1984,22,Lanzarote Aeropuerto,1984
1985,25,Lanzarote Aeropuerto,1985
1986,25,Lanzarote Aeropuerto,1986
1987,27,Lanzarote Aeropuerto,1987
1988,18,Lanzarote Aeropuerto,1988
1989,37,Lanzarote Aeropuerto,1989
1990,26,Lanzarote Aeropuerto,1990
1991,19,Lanzarote Aeropuerto,1991
1992,8,Lanzarote Aeropuerto,1992
1993,5,Lanzarote Aeropuerto,1993
1994,11,Lanzarote Aeropuerto,1994
1995,12,Lanzarote Aeropuerto,1995
1996,2,Lanzarote Aeropuerto,1996
1997,17,Lanzarote Aeropuerto,1997
1998,19,Lanzarote Aeropuerto,1998
1999,14,Lanzarote Aeropuerto,1999
2000,12,Lanzarote Aeropuerto,2000
2001,22,Lanzarote Aeropuerto,2001
2002,9,Lanzarote Aeropuerto,2002
2003,19,Lanzarote Aeropuerto,2003
2004,29,Lanzarote Aeropuerto,2004
2005,21,Lanzarote Aeropuerto,2005
2006,21,Lanzarote Aeropuerto,2006
2007,11,Lanzarote Aeropuerto,2007
2008,18,Lanzarote Aeropuerto,2008
2009,23,Lanzarote Aeropuerto,2009
2010,33,Lanzarote Aeropuerto,2010
2011,14,Lanzarote Aeropuerto,2011
2012,38,Lanzarote Aeropuerto,2012
2013,23,Lanzarote Aeropuerto,2013
2014,23,Lanzarote Aeropuerto,2014
2015,48,Lanzarote Aeropuerto,2015
2016,45,Lanzarote Aeropuerto,2016
2017,42,Lanzarote Aeropuerto,2017
2018,19,Lanzarote Aeropuerto,2018
1950,35,León - Virgen Del Camino,1950
1951,15,León - Virgen Del Camino,1951
1952,9,León - Virgen Del Camino,1952
1953,32,León - Virgen Del Camino,1953
1954,23,León - Virgen Del Camino,1954
1955,32,León - Virgen Del Camino,1955
1956,13,León - Virgen Del Camino,1956
1957,18,León - Virgen Del Camino,1957
1958,19,León - Virgen Del Camino,1958
1959,18,León - Virgen Del Camino,1959
1960,16,León - Virgen Del Camino,1960
1961,29,León - Virgen Del Camino,1961
1962,38,León - Virgen Del Camino,1962
1963,23,León - Virgen Del Camino,1963
1964,32,León - Virgen Del Camino,1964
1965,21,León - Virgen Del Camino,1965
1966,20,León - Virgen Del Camino,1966
1967,24,León - Virgen Del Camino,1967
1968,24,León - Virgen Del Camino,1968
1969,26,León - Virgen Del Camino,1969
1970,22,León - Virgen Del Camino,1970
1971,5,León - Virgen Del Camino,1971
1972,5,León - Virgen Del Camino,1972
1973,19,León - Virgen Del Camino,1973
1974,18,León - Virgen Del Camino,1974
1975,19,León - Virgen Del Camino,1975
1976,17,León - Virgen Del Camino,1976
1977,17,León - Virgen Del Camino,1977
1978,35,León - Virgen Del Camino,1978
1979,20,León - Virgen Del Camino,1979
1980,22,León - Virgen Del Camino,1980
1981,24,León - Virgen Del Camino,1981
1982,17,León - Virgen Del Camino,1982
1983,15,León - Virgen Del Camino,1983
1984,14,León - Virgen Del Camino,1984
1985,26,León - Virgen Del Camino,1985
1986,30,León - Virgen Del Camino,1986
1987,35,León - Virgen Del Camino,1987
1988,17,León - Virgen Del Camino,1988
1989,30,León - Virgen Del Camino,1989
1990,26,León - Virgen Del Camino,1990
1991,41,León - Virgen Del Camino,1991
1992,27,León - Virgen Del Camino,1992
1993,18,León - Virgen Del Camino,1993
1994,28,León - Virgen Del Camino,1994
1995,16,León - Virgen Del Camino,1995
1996,19,León - Virgen Del Camino,1996
1997,14,León - Virgen Del Camino,1997
1998,25,León - Virgen Del Camino,1998
1999,16,León - Virgen Del Camino,1999
2000,19,León - Virgen Del Camino,2000
2001,20,León - Virgen Del Camino,2001
2002,18,León - Virgen Del Camino,2002
2003,33,León - Virgen Del Camino,2003
2004,18,León - Virgen Del Camino,2004
2005,25,León - Virgen Del Camino,2005
2006,30,León - Virgen Del Camino,2006
2007,9,León - Virgen Del Camino,2007
2008,13,León - Virgen Del Camino,2008
2009,22,León - Virgen Del Camino,2009
2010,27,León - Virgen Del Camino,2010
2011,14,León - Virgen Del Camino,2011
2012,23,León - Virgen Del Camino,2012
2013,24,León - Virgen Del Camino,2013
2014,9,León - Virgen Del Camino,2014
2015,26,León - Virgen Del Camino,2015
2016,36,León - Virgen Del Camino,2016
2017,33,León - Virgen Del Camino,2017
2018,19,León - Virgen Del Camino,2018
1983,81,Lleida,1983
1984,71,Lleida,1984
1985,89,Lleida,1985
1986,74,Lleida,1986
1987,76,Lleida,1987
1988,62,Lleida,1988
1989,80,Lleida,1989
1990,79,Lleida,1990
1991,91,Lleida,1991
1992,49,Lleida,1992
1993,64,Lleida,1993
1994,83,Lleida,1994
1995,63,Lleida,1995
1996,60,Lleida,1996
1997,58,Lleida,1997
1998,81,Lleida,1998
1999,75,Lleida,1999
2000,82,Lleida,2000
2001,75,Lleida,2001
2002,66,Lleida,2002
2003,90,Lleida,2003
2004,83,Lleida,2004
2005,79,Lleida,2005
2006,87,Lleida,2006
2007,75,Lleida,2007
2008,69,Lleida,2008
2009,89,Lleida,2009
2010,73,Lleida,2010
2011,84,Lleida,2011
2012,89,Lleida,2012
2013,70,Lleida,2013
2014,80,Lleida,2014
2015,79,Lleida,2015
2016,86,Lleida,2016
2017,83,Lleida,2017
2018,90,Lleida,2018
1950,64,Logroño Aeropuerto,1950
1951,31,Logroño Aeropuerto,1951
1952,37,Logroño Aeropuerto,1952
1953,38,Logroño Aeropuerto,1953
1954,28,Logroño Aeropuerto,1954
1955,41,Logroño Aeropuerto,1955
1956,24,Logroño Aeropuerto,1956
1957,28,Logroño Aeropuerto,1957
1958,32,Logroño Aeropuerto,1958
1959,40,Logroño Aeropuerto,1959
1960,29,Logroño Aeropuerto,1960
1961,42,Logroño Aeropuerto,1961
1962,49,Logroño Aeropuerto,1962
1963,24,Logroño Aeropuerto,1963
1964,52,Logroño Aeropuerto,1964
1965,48,Logroño Aeropuerto,1965
1966,32,Logroño Aeropuerto,1966
1967,46,Logroño Aeropuerto,1967
1968,35,Logroño Aeropuerto,1968
1969,38,Logroño Aeropuerto,1969
1970,47,Logroño Aeropuerto,1970
1971,39,Logroño Aeropuerto,1971
1972,23,Logroño Aeropuerto,1972
1973,37,Logroño Aeropuerto,1973
1974,30,Logroño Aeropuerto,1974
1975,38,Logroño Aeropuerto,1975
1976,33,Logroño Aeropuerto,1976
1977,20,Logroño Aeropuerto,1977
1978,37,Logroño Aeropuerto,1978
1979,33,Logroño Aeropuerto,1979
1980,36,Logroño Aeropuerto,1980
1981,39,Logroño Aeropuerto,1981
1982,35,Logroño Aeropuerto,1982
1983,43,Logroño Aeropuerto,1983
1984,32,Logroño Aeropuerto,1984
1985,52,Logroño Aeropuerto,1985
1986,44,Logroño Aeropuerto,1986
1987,51,Logroño Aeropuerto,1987
1988,39,Logroño Aeropuerto,1988
1989,61,Logroño Aeropuerto,1989
1990,61,Logroño Aeropuerto,1990
1991,67,Logroño Aeropuerto,1991
1992,41,Logroño Aeropuerto,1992
1993,42,Logroño Aeropuerto,1993
1994,61,Logroño Aeropuerto,1994
1995,46,Logroño Aeropuerto,1995
1996,46,Logroño Aeropuerto,1996
1997,30,Logroño Aeropuerto,1997
1998,46,Logroño Aeropuerto,1998
1999,45,Logroño Aeropuerto,1999
2000,59,Logroño Aeropuerto,2000
2001,47,Logroño Aeropuerto,2001
2002,34,Logroño Aeropuerto,2002
2003,67,Logroño Aeropuerto,2003
2004,48,Logroño Aeropuerto,2004
2005,58,Logroño Aeropuerto,2005
2006,61,Logroño Aeropuerto,2006
2007,36,Logroño Aeropuerto,2007
2008,47,Logroño Aeropuerto,2008
2009,63,Logroño Aeropuerto,2009
2010,50,Logroño Aeropuerto,2010
2011,55,Logroño Aeropuerto,2011
2012,63,Logroño Aeropuerto,2012
2013,48,Logroño Aeropuerto,2013
2014,51,Logroño Aeropuerto,2014
2015,58,Logroño Aeropuerto,2015
2016,61,Logroño Aeropuerto,2016
2017,56,Logroño Aeropuerto,2017
2018,58,Logroño Aeropuerto,2018
1955,88,Lorca,1955
1956,77,Lorca,1956
1957,79,Lorca,1957
1958,77,Lorca,1958
1959,68,Lorca,1959
1960,81,Lorca,1960
1961,82,Lorca,1961
1962,94,Lorca,1962
1963,62,Lorca,1963
1964,95,Lorca,1964
1965,74,Lorca,1965
1966,81,Lorca,1966
1967,78,Lorca,1967
1968,74,Lorca,1968
1969,51,Lorca,1969
1970,58,Lorca,1970
1971,65,Lorca,1971
1972,39,Lorca,1972
1973,71,Lorca,1973
1974,58,Lorca,1974
1975,67,Lorca,1975
1976,55,Lorca,1976
1978,79,Lorca,1978
1979,102,Lorca,1979
1980,101,Lorca,1980
1981,81,Lorca,1981
1982,88,Lorca,1982
1983,98,Lorca,1983
1984,77,Lorca,1984
1985,93,Lorca,1985
1986,98,Lorca,1986
1987,108,Lorca,1987
1988,79,Lorca,1988
1989,83,Lorca,1989
1990,88,Lorca,1990
1991,47,Lorca,1991
1992,69,Lorca,1992
1993,78,Lorca,1993
1994,92,Lorca,1994
1995,67,Lorca,1995
1996,67,Lorca,1996
1997,72,Lorca,1997
1998,72,Lorca,1998
1999,84,Lorca,1999
2000,74,Lorca,2000
2001,84,Lorca,2001
2002,67,Lorca,2002
2003,97,Lorca,2003
2004,77,Lorca,2004
2005,47,Lorca,2005
2006,107,Lorca,2006
2007,94,Lorca,2007
2008,35,Lorca,2008
2009,100,Lorca,2009
2010,95,Lorca,2010
2011,62,Lorca,2011
2012,112,Lorca,2012
2013,80,Lorca,2013
2014,98,Lorca,2014
2015,96,Lorca,2015
2016,97,Lorca,2016
2017,95,Lorca,2017
2018,93,Lorca,2018
1985,15,Lugo Aeropuerto,1985
1986,7,Lugo Aeropuerto,1986
1987,20,Lugo Aeropuerto,1987
1988,6,Lugo Aeropuerto,1988
1989,5,Lugo Aeropuerto,1989
1990,24,Lugo Aeropuerto,1990
1991,14,Lugo Aeropuerto,1991
1992,12,Lugo Aeropuerto,1992
1993,8,Lugo Aeropuerto,1993
1994,5,Lugo Aeropuerto,1994
1995,7,Lugo Aeropuerto,1995
1996,11,Lugo Aeropuerto,1996
1997,6,Lugo Aeropuerto,1997
1998,15,Lugo Aeropuerto,1998
1999,6,Lugo Aeropuerto,1999
2000,13,Lugo Aeropuerto,2000
2001,7,Lugo Aeropuerto,2001
2002,1,Lugo Aeropuerto,2002
2003,24,Lugo Aeropuerto,2003
2004,7,Lugo Aeropuerto,2004
2005,13,Lugo Aeropuerto,2005
2006,23,Lugo Aeropuerto,2006
2007,7,Lugo Aeropuerto,2007
2008,5,Lugo Aeropuerto,2008
2009,9,Lugo Aeropuerto,2009
2010,13,Lugo Aeropuerto,2010
2011,11,Lugo Aeropuerto,2011
2012,19,Lugo Aeropuerto,2012
2013,18,Lugo Aeropuerto,2013
2014,3,Lugo Aeropuerto,2014
